,TimeSec,Sensor,Quatx,Quaty,Quatz,Quat0,Heading,Pitch,Roll,LinAccx,LinAccy,LinAccz,Vbat,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,activity
0,0.1147,4.0,0.97,-0.09,0.12,-0.19,350.29,11.22,-12.99,-0.01,0.0,0.01,3.51,0.0,0.61,-0.15,-0.2,-0.23,0.96,8
1,0.11632999999999999,1.0,-0.046,0.08,0.06,0.99,198.84,-9.58,6.64,-0.06,-0.0,0.02,3.77,0.15,-0.15,0.31,0.23,0.11,0.99,8
2,0.11897999999999999,0.0,-0.051,-0.12,-0.02,-0.99,187.74,-13.05,3.59,0.09,-0.0,0.01,3.84,0.0,-0.76,-0.15,0.14,0.05,1.0,8
3,0.11992,5.0,0.953,0.12,0.16,0.23,43.32,14.36,18.45,0.11,-0.0,0.01,3.58,-0.15,0.0,0.0,-0.16,0.27,0.97,8
4,0.17032,2.0,0.647,0.11,0.05,-0.75,275.94,13.56,4.56,-0.01,-0.0,0.0,3.69,-0.46,-0.15,-0.31,-0.24,0.07,0.97,8
5,0.17128,7.0,0.9670000000000001,-0.01,0.0,0.26,43.73,0.36,-0.95,0.09,0.0,-0.0,3.7,-0.15,0.0,-0.15,0.07,-0.06,1.0,8
6,0.17409000000000002,3.0,0.6729999999999999,-0.08,0.17,0.72,109.09,19.52,8.5,0.09,0.0,0.01,3.58,0.0,-0.15,0.15,-0.35,0.05,0.95,8
7,0.17540999999999998,6.0,0.905,-0.11,-0.09,-0.4,327.36,-14.95,-7.15,-0.03,-0.01,0.0,3.55,0.15,0.0,-0.15,0.23,-0.14,0.96,8
8,0.19162,4.0,0.97,-0.09,0.12,-0.19,350.21,11.25,-13.04,-0.01,0.0,0.01,3.51,-0.46,0.15,-0.46,-0.21,-0.23,0.96,8
9,0.19276,1.0,-0.046,0.08,0.06,0.99,198.82,-9.75,6.63,-0.06,0.0,0.02,3.77,0.31,0.15,0.15,0.23,0.11,0.99,8
10,0.23439000000000002,0.0,-0.051,-0.11,-0.02,-0.99,187.78,-12.99,3.58,0.08,-0.0,0.01,3.84,0.0,-0.46,-0.15,0.14,0.05,1.0,8
11,0.23563,5.0,0.953,0.12,0.16,0.23,43.33,14.3,18.43,0.11,-0.0,0.01,3.58,0.15,0.61,0.46,-0.15,0.27,0.97,8
12,0.25425,2.0,0.6459999999999999,0.11,0.05,-0.75,275.86,13.55,4.55,-0.01,-0.0,0.0,3.69,-0.15,-0.61,-0.61,-0.24,0.06,0.97,8
13,0.25522,7.0,0.9670000000000001,-0.01,0.0,0.26,43.71,0.35,-0.93,0.09,0.0,-0.01,3.7,0.61,1.07,0.31,0.07,-0.06,0.99,8
14,0.29543,3.0,0.6729999999999999,-0.08,0.17,0.72,109.11,19.5,8.41,0.09,-0.0,0.01,3.58,0.0,0.0,0.76,-0.34,0.05,0.95,8
15,0.29638000000000003,1.0,-0.046,0.08,0.06,0.99,198.83,-9.87,6.64,-0.06,-0.0,0.02,3.77,0.0,-1.22,0.15,0.23,0.11,0.99,8
16,0.35167,4.0,0.97,-0.09,0.12,-0.19,350.14,11.2,-13.05,-0.01,0.0,0.01,3.51,0.0,-0.15,-0.31,-0.21,-0.23,0.96,8
17,0.35274,5.0,0.953,0.12,0.16,0.23,43.31,14.26,18.38,0.11,0.0,0.01,3.58,-0.31,0.76,0.0,-0.15,0.26,0.97,8
18,0.35516,0.0,-0.051,-0.11,-0.02,-0.99,187.76,-12.94,3.57,0.09,0.0,0.01,3.84,0.61,0.0,0.31,0.14,0.05,1.0,8
19,0.35611,7.0,0.966,-0.01,0.0,0.26,43.79,0.41,-0.91,0.09,0.0,-0.01,3.7,0.46,0.61,0.0,0.07,-0.06,0.99,8
20,0.35851,2.0,0.6459999999999999,0.11,0.05,-0.75,275.88,13.45,4.5,-0.01,-0.01,0.01,3.69,0.0,-0.46,0.46,-0.23,0.06,0.97,8
21,0.35949000000000003,6.0,0.9059999999999999,-0.11,-0.09,-0.4,327.45,-14.83,-7.36,-0.03,0.0,0.0,3.55,-0.46,0.0,0.92,0.24,-0.14,0.96,8
22,0.40615999999999997,3.0,0.6729999999999999,-0.08,0.17,0.72,109.08,19.52,8.45,0.09,-0.0,0.0,3.58,0.46,0.31,0.15,-0.34,0.05,0.95,8
23,0.40728000000000003,1.0,-0.047,0.08,0.06,0.99,198.87,-10.06,6.66,-0.05,0.0,0.03,3.77,0.15,-0.61,0.0,0.23,0.12,0.99,8
24,0.42758,4.0,0.97,-0.09,0.12,-0.19,350.25,11.19,-13.13,-0.01,0.0,0.01,3.51,-0.61,0.0,0.92,-0.21,-0.23,0.96,8
25,0.43133,5.0,0.953,0.12,0.16,0.23,43.27,14.26,18.34,0.11,-0.0,0.02,3.58,0.0,0.46,-0.31,-0.16,0.27,0.97,8
26,0.44595,0.0,-0.05,-0.11,-0.03,-0.99,187.84,-12.93,3.65,0.09,0.0,0.0,3.84,0.46,-0.76,0.0,0.14,0.06,1.0,8
27,0.44682,7.0,0.966,-0.01,0.0,0.26,43.85,0.44,-0.91,0.09,0.0,-0.01,3.7,0.31,0.61,-0.46,0.07,-0.06,1.0,8
28,0.51255,2.0,0.647,0.11,0.05,-0.75,275.93,13.44,4.5,0.0,0.0,0.0,3.69,-0.76,-0.92,-0.15,-0.23,0.08,0.97,8
29,0.5142399999999999,1.0,-0.048,0.09,0.06,0.99,198.99,-10.18,6.72,-0.05,0.0,0.03,3.77,-0.31,-1.07,0.0,0.23,0.11,0.99,8
30,0.5322399999999999,4.0,0.9690000000000001,-0.09,0.12,-0.19,350.18,11.25,-13.27,-0.02,-0.0,0.01,3.51,-1.37,0.92,-0.46,-0.21,-0.23,0.96,8
31,0.53325,5.0,0.953,0.12,0.16,0.23,43.33,14.35,18.41,0.12,0.01,0.01,3.58,0.76,2.14,0.61,-0.15,0.26,0.96,8
32,0.54545,3.0,0.6729999999999999,-0.08,0.17,0.72,109.03,19.54,8.46,0.09,-0.0,0.01,3.58,0.76,0.0,0.46,-0.35,0.05,0.96,8
33,0.5464899999999999,7.0,0.9670000000000001,-0.01,0.0,0.26,43.69,0.4,-0.91,0.1,0.0,-0.01,3.7,1.22,0.92,-3.05,0.08,-0.07,0.99,8
34,0.60918,0.0,-0.05,-0.11,-0.03,-0.99,187.84,-12.96,3.72,0.09,0.0,0.01,3.84,0.31,-1.22,-0.31,0.14,0.06,1.0,8
35,0.61038,1.0,-0.049,0.09,0.06,0.99,199.04,-10.32,6.73,-0.05,-0.0,0.02,3.77,0.15,-0.61,0.76,0.23,0.11,0.99,8
36,0.61726,2.0,0.6459999999999999,0.11,0.05,-0.75,275.74,13.38,4.33,-0.01,0.01,-0.0,3.69,-1.22,-0.61,-0.15,-0.22,0.06,0.97,8
37,0.61819,5.0,0.953,0.12,0.16,0.23,43.33,14.4,18.45,0.12,-0.0,0.0,3.58,0.0,0.15,-0.15,-0.15,0.26,0.96,8
38,0.6572399999999999,4.0,0.9690000000000001,-0.09,0.12,-0.19,350.19,11.36,-13.43,-0.01,-0.0,0.01,3.51,-0.31,0.92,-0.61,-0.2,-0.23,0.96,8
39,0.6585,7.0,0.9670000000000001,-0.01,0.0,0.25,43.4,0.37,-0.91,0.09,-0.0,-0.0,3.7,0.61,0.61,-2.14,0.07,-0.05,0.99,8
40,0.7314,3.0,0.675,-0.08,0.17,0.71,108.81,19.51,8.47,0.1,-0.0,-0.0,3.58,1.37,0.15,0.76,-0.33,0.04,0.94,8
41,0.73256,6.0,0.9059999999999999,-0.11,-0.09,-0.4,327.76,-14.92,-7.51,-0.02,-0.0,0.0,3.55,0.0,-0.31,0.61,0.24,-0.14,0.96,8
42,0.73582,0.0,-0.051,-0.11,-0.03,-0.99,187.75,-12.94,3.74,0.09,0.0,0.01,3.84,0.31,-1.53,0.0,0.15,0.05,1.0,8
43,0.7369399999999999,1.0,-0.049,0.09,0.06,0.99,199.1,-10.42,6.74,-0.05,0.0,0.02,3.77,-0.15,-0.46,0.0,0.23,0.11,0.99,8
44,0.74017,2.0,0.6459999999999999,0.11,0.05,-0.75,275.71,13.28,4.13,-0.0,-0.01,0.01,3.69,-1.07,-0.61,0.0,-0.23,0.07,0.98,8
45,0.74154,5.0,0.953,0.12,0.16,0.23,43.3,14.3,18.42,0.11,-0.01,0.01,3.58,0.46,0.0,0.0,-0.16,0.27,0.97,8
46,0.7533,4.0,0.9690000000000001,-0.09,0.12,-0.19,350.2,11.46,-13.51,-0.01,-0.0,0.0,3.51,-0.92,0.61,0.61,-0.21,-0.23,0.96,8
47,0.75421,7.0,0.968,-0.01,0.0,0.25,43.23,0.38,-0.86,0.09,0.0,-0.0,3.7,0.46,0.46,-1.83,0.07,-0.05,0.99,8
48,0.77869,3.0,0.674,-0.07,0.17,0.72,108.91,19.49,8.57,0.09,0.0,0.01,3.58,0.76,0.0,0.31,-0.34,0.06,0.95,8
49,0.77959,6.0,0.9059999999999999,-0.11,-0.09,-0.4,327.77,-14.9,-7.52,-0.03,0.0,0.0,3.55,-0.31,0.0,0.15,0.24,-0.15,0.96,8
50,0.7993100000000001,0.0,-0.05,-0.12,-0.03,-0.99,187.86,-13.06,3.81,0.08,0.0,0.01,3.84,0.0,-1.07,-0.15,0.15,0.06,1.0,8
51,0.8005,1.0,-0.049,0.09,0.06,0.99,199.1,-10.49,6.74,-0.05,0.0,0.03,3.77,0.0,-0.76,0.15,0.24,0.11,1.0,8
52,0.82035,2.0,0.647,0.11,0.05,-0.75,275.84,13.18,4.07,-0.0,-0.0,0.01,3.69,-1.07,-0.61,-0.46,-0.23,0.06,0.98,8
53,0.8216399999999999,5.0,0.953,0.12,0.16,0.23,43.37,14.29,18.46,0.1,-0.0,0.01,3.58,0.0,0.0,0.0,-0.16,0.27,0.97,8
54,0.84615,3.0,0.674,-0.07,0.17,0.72,109.01,19.49,8.6,0.09,0.0,0.01,3.58,0.0,-0.46,0.46,-0.34,0.05,0.95,8
55,0.8478600000000001,7.0,0.968,-0.01,0.0,0.25,43.08,0.35,-0.88,0.09,-0.0,-0.01,3.7,0.31,0.15,-1.22,0.06,-0.05,0.99,8
56,0.93015,4.0,0.9690000000000001,-0.09,0.12,-0.19,350.17,11.54,-13.57,-0.0,-0.0,0.0,3.51,-0.46,0.92,-0.61,-0.21,-0.23,0.96,8
57,0.93115,1.0,-0.05,0.09,0.06,0.99,199.19,-10.61,6.78,-0.05,-0.0,0.03,3.77,0.0,-0.61,0.15,0.24,0.11,0.99,8
58,0.9337700000000001,0.0,-0.05,-0.12,-0.03,-0.99,187.83,-13.09,3.79,0.08,-0.0,0.01,3.84,0.0,-0.76,0.0,0.15,0.05,1.0,8
59,0.93466,5.0,0.953,0.12,0.16,0.23,43.34,14.26,18.41,0.1,-0.0,0.01,3.58,0.15,0.61,-0.46,-0.16,0.27,0.97,8
60,0.95096,2.0,0.6459999999999999,0.11,0.05,-0.75,275.75,13.17,4.03,-0.01,-0.0,0.01,3.69,-0.15,-0.15,-0.61,-0.23,0.06,0.97,8
61,0.95196,7.0,0.968,-0.01,0.0,0.25,43.0,0.35,-0.86,0.08,-0.0,-0.0,3.7,0.31,0.76,-0.92,0.07,-0.06,0.99,8
62,1.0132,4.0,0.9690000000000001,-0.09,0.12,-0.19,350.18,11.59,-13.57,-0.01,0.0,0.01,3.51,0.46,-0.15,0.0,-0.21,-0.24,0.96,8
63,1.0147,1.0,-0.05,0.09,0.06,0.99,199.17,-10.68,6.77,-0.05,-0.0,0.02,3.77,0.0,-0.46,0.0,0.24,0.11,0.99,8
64,1.023,3.0,0.674,-0.07,0.17,0.72,108.98,19.43,8.63,0.08,0.0,0.01,3.58,0.15,-0.46,0.31,-0.34,0.06,0.95,8
65,1.024,5.0,0.953,0.12,0.16,0.23,43.25,14.27,18.41,0.11,0.0,0.01,3.58,0.15,0.76,-0.15,-0.16,0.26,0.96,8
66,1.0661,0.0,-0.051,-0.12,-0.03,-0.99,187.78,-13.13,3.77,0.08,-0.0,0.01,3.84,0.0,-0.46,-0.15,0.15,0.06,1.0,8
67,1.0671,7.0,0.9690000000000001,-0.01,0.0,0.25,42.86,0.41,-0.86,0.09,0.0,-0.0,3.7,0.0,0.46,-1.22,0.06,-0.06,1.0,8
68,1.0697,2.0,0.6459999999999999,0.11,0.05,-0.75,275.73,13.18,4.06,-0.0,-0.0,0.01,3.69,0.0,-0.31,-0.76,-0.23,0.06,0.98,8
69,1.0705,6.0,0.907,-0.11,-0.09,-0.4,327.98,-14.89,-7.76,-0.02,-0.0,0.0,3.55,-0.15,-0.46,0.76,0.24,-0.15,0.96,8
70,1.1009,4.0,0.9690000000000001,-0.09,0.12,-0.19,350.08,11.58,-13.59,-0.01,0.0,0.0,3.51,-0.46,0.15,-1.07,-0.21,-0.24,0.95,8
71,1.102,1.0,-0.05,0.09,0.06,0.99,199.19,-10.78,6.77,-0.05,-0.0,0.02,3.77,0.15,0.0,0.15,0.24,0.11,0.99,8
72,1.1221,3.0,0.674,-0.07,0.17,0.72,108.93,19.39,8.68,0.09,0.0,0.01,3.58,0.46,0.0,0.0,-0.34,0.06,0.95,8
73,1.1233,5.0,0.953,0.12,0.16,0.23,43.25,14.27,18.38,0.1,0.0,0.0,3.58,0.0,0.15,0.0,-0.16,0.27,0.96,8
74,1.1652,0.0,-0.051,-0.12,-0.03,-0.99,187.73,-13.17,3.77,0.08,-0.0,0.01,3.84,0.31,-0.76,-0.31,0.15,0.05,1.0,8
75,1.1662,7.0,0.9690000000000001,-0.01,0.0,0.25,42.75,0.39,-0.87,0.08,0.0,-0.01,3.7,0.31,0.46,-1.22,0.06,-0.06,0.99,8
76,1.1839,2.0,0.645,0.11,0.05,-0.75,275.61,13.14,3.99,-0.01,-0.0,0.01,3.69,-0.31,-0.61,-0.46,-0.23,0.06,0.98,8
77,1.1851,6.0,0.907,-0.11,-0.09,-0.39,328.04,-14.9,-7.79,-0.02,-0.0,-0.0,3.55,0.0,-0.46,-0.31,0.24,-0.15,0.96,8
78,1.2041,4.0,0.9690000000000001,-0.09,0.12,-0.19,350.05,11.62,-13.68,-0.01,-0.0,0.01,3.51,-0.46,0.15,0.0,-0.22,-0.24,0.96,8
79,1.2052,1.0,-0.051,0.09,0.06,0.99,199.26,-10.83,6.83,-0.06,-0.0,0.02,3.77,0.15,0.0,0.15,0.24,0.11,0.98,8
80,1.2229999999999999,3.0,0.675,-0.07,0.17,0.71,108.82,19.38,8.79,0.09,-0.0,0.01,3.58,0.61,0.31,0.31,-0.34,0.05,0.95,8
81,1.2239,5.0,0.953,0.12,0.16,0.23,43.14,14.15,18.29,0.1,-0.0,0.02,3.58,0.15,0.0,0.31,-0.16,0.27,0.97,8
82,1.2678,0.0,-0.052000000000000005,-0.12,-0.03,-0.99,187.62,-13.1,3.76,0.08,0.0,0.01,3.84,0.31,-0.61,-0.15,0.15,0.06,1.0,8
83,1.2690000000000001,7.0,0.9690000000000001,-0.01,0.0,0.25,42.8,0.33,-0.94,0.08,0.01,-0.01,3.7,0.15,0.15,-0.31,0.06,-0.06,0.99,8
84,1.3248,2.0,0.645,0.11,0.05,-0.75,275.53,13.09,3.87,-0.01,0.0,0.0,3.69,-0.31,-0.76,-0.46,-0.23,0.06,0.98,8
85,1.3257,1.0,-0.051,0.09,0.06,0.99,199.31,-10.73,6.84,-0.05,0.0,0.03,3.77,-0.31,0.0,-0.31,0.24,0.11,0.99,8
86,1.3291,4.0,0.9690000000000001,-0.1,0.12,-0.19,350.03,11.68,-13.75,-0.01,-0.0,0.01,3.51,-0.61,0.31,-0.15,-0.22,-0.24,0.96,8
87,1.33,5.0,0.953,0.12,0.16,0.23,43.18,14.14,18.31,0.1,0.0,0.01,3.58,-0.15,0.0,1.37,-0.16,0.27,0.96,8
88,1.3509,3.0,0.675,-0.07,0.17,0.71,108.89,19.41,8.77,0.09,0.0,0.01,3.58,0.31,0.15,0.61,-0.34,0.06,0.95,8
89,1.3519999999999999,7.0,0.9690000000000001,-0.01,-0.0,0.25,42.77,0.25,-1.01,0.08,-0.0,-0.01,3.7,0.0,0.0,0.0,0.06,-0.05,0.99,8
90,1.4351,0.0,-0.052000000000000005,-0.12,-0.03,-0.99,187.6,-13.09,3.78,0.07,-0.0,0.01,3.84,0.15,-0.31,0.0,0.16,0.05,1.0,8
91,1.4366,1.0,-0.052000000000000005,0.09,0.06,0.99,199.4,-10.87,6.86,-0.05,-0.0,0.02,3.77,0.15,0.0,0.31,0.24,0.11,0.99,8
92,1.4397,2.0,0.6459999999999999,0.11,0.05,-0.75,275.66,12.96,3.86,-0.01,-0.01,0.01,3.69,-0.31,-0.46,-0.46,-0.23,0.05,0.98,8
93,1.4406,5.0,0.953,0.12,0.16,0.23,43.27,14.06,18.2,0.1,-0.0,0.01,3.58,-0.61,0.0,0.15,-0.16,0.27,0.96,8
94,1.4538,4.0,0.968,-0.1,0.12,-0.19,350.0,11.81,-13.81,-0.01,-0.0,-0.0,3.51,-0.15,0.0,0.61,-0.21,-0.23,0.95,8
95,1.4548,7.0,0.9690000000000001,-0.01,-0.0,0.25,42.83,0.26,-1.02,0.08,0.0,-0.01,3.7,-0.46,0.0,0.31,0.07,-0.06,0.99,8
96,1.546,3.0,0.674,-0.07,0.17,0.72,108.92,19.48,8.69,0.09,0.0,0.01,3.58,0.0,-0.15,0.0,-0.35,0.05,0.95,8
97,1.547,1.0,-0.051,0.09,0.06,0.99,199.32,-10.86,6.81,-0.05,-0.0,0.02,3.77,0.0,0.61,0.0,0.24,0.11,0.99,8
98,1.5498,0.0,-0.052000000000000005,-0.12,-0.03,-0.99,187.66,-13.12,3.81,0.07,0.0,0.01,3.84,0.61,-0.15,0.31,0.16,0.06,0.99,8
99,1.5508,5.0,0.953,0.12,0.16,0.23,43.21,13.93,18.15,0.1,0.0,0.01,3.58,-0.61,-0.15,0.46,-0.16,0.27,0.96,8
100,1.5661,2.0,0.645,0.11,0.05,-0.75,275.57,13.03,3.82,-0.01,0.0,0.0,3.69,-0.15,-0.31,-0.15,-0.23,0.06,0.98,8
101,1.5672,7.0,0.968,-0.01,-0.0,0.25,42.93,0.15,-1.13,0.07,0.0,-0.0,3.7,-0.31,-0.31,1.22,0.06,-0.05,1.0,8
102,1.6441,4.0,0.968,-0.1,0.12,-0.19,349.96,11.77,-13.77,-0.01,0.01,0.01,3.51,0.31,-0.46,0.0,-0.21,-0.25,0.96,8
103,1.6455,1.0,-0.051,0.09,0.06,0.99,199.32,-10.79,6.82,-0.05,0.0,0.02,3.77,0.46,0.61,0.46,0.24,0.11,0.99,8
104,1.6477,3.0,0.674,-0.07,0.17,0.71,108.88,19.47,8.66,0.08,0.0,0.01,3.58,-0.15,0.0,0.92,-0.34,0.06,0.95,8
105,1.6485,5.0,0.9540000000000001,0.12,0.15,0.23,43.22,13.82,18.05,0.1,0.0,0.01,3.58,-0.46,-0.31,0.0,-0.16,0.26,0.97,8
106,1.6634,0.0,-0.052000000000000005,-0.12,-0.03,-0.99,187.59,-13.1,3.81,0.07,0.0,0.01,3.84,0.31,0.0,0.46,0.16,0.06,1.0,8
107,1.6643,7.0,0.968,-0.01,-0.0,0.25,43.14,0.1,-1.16,0.08,0.0,-0.01,3.7,0.0,0.0,2.44,0.07,-0.06,0.99,8
108,1.729,2.0,0.645,0.11,0.05,-0.75,275.52,13.05,3.88,-0.01,-0.0,0.0,3.69,0.15,-0.31,0.0,-0.23,0.06,0.98,8
109,1.7302,1.0,-0.052000000000000005,0.09,0.06,0.99,199.4,-10.82,6.82,-0.05,-0.0,0.02,3.77,0.0,0.0,0.0,0.24,0.11,0.99,8
110,1.7325,4.0,0.968,-0.1,0.12,-0.19,350.0,11.7,-13.81,-0.01,0.0,0.01,3.51,-0.46,-0.31,-0.15,-0.21,-0.24,0.96,8
111,1.7333,5.0,0.9540000000000001,0.12,0.15,0.23,43.16,13.8,18.02,0.09,0.0,0.01,3.58,-0.15,0.0,0.0,-0.16,0.27,0.97,8
112,1.7691,3.0,0.675,-0.07,0.17,0.71,108.86,19.46,8.64,0.08,0.0,0.01,3.58,-0.31,0.46,-0.15,-0.34,0.06,0.95,8
113,1.7702,7.0,0.9670000000000001,-0.01,-0.0,0.25,43.43,0.05,-1.21,0.08,-0.01,-0.0,3.7,0.0,0.0,0.92,0.07,-0.06,1.0,8
114,1.8232,0.0,-0.051,-0.11,-0.03,-0.99,187.69,-12.94,3.86,0.07,0.0,0.01,3.84,0.31,0.46,0.31,0.15,0.06,1.0,8
115,1.8243,1.0,-0.052000000000000005,0.09,0.06,0.99,199.39,-10.81,6.8,-0.04,0.0,0.03,3.77,0.0,-0.15,0.0,0.24,0.11,0.99,8
116,1.8455,2.0,0.645,0.11,0.05,-0.75,275.54,13.0,3.89,-0.01,0.0,0.0,3.69,0.31,-0.31,0.46,-0.22,0.06,0.98,8
117,1.8467,5.0,0.9540000000000001,0.12,0.15,0.23,43.26,13.77,18.02,0.1,0.0,0.01,3.58,0.31,0.31,0.31,-0.16,0.26,0.97,8
118,1.8543,3.0,0.674,-0.08,0.17,0.72,108.87,19.53,8.45,0.08,0.01,0.01,3.58,-0.76,0.15,0.15,-0.34,0.06,0.95,8
119,1.8553,7.0,0.9670000000000001,-0.01,-0.0,0.25,43.33,-0.02,-1.23,0.08,-0.0,-0.01,3.7,-0.15,-0.31,-0.15,0.07,-0.06,0.99,8
120,1.9364,4.0,0.968,-0.1,0.12,-0.19,350.02,11.71,-13.86,-0.0,-0.0,0.0,3.51,0.0,-0.46,0.46,-0.21,-0.23,0.96,8
121,1.9377,1.0,-0.052000000000000005,0.09,0.06,0.99,199.37,-10.79,6.78,-0.04,0.0,0.03,3.77,0.15,0.46,0.0,0.23,0.12,0.99,8
122,1.9421,0.0,-0.051,-0.11,-0.03,-0.99,187.7,-12.83,3.88,0.07,0.0,0.01,3.84,0.15,0.46,0.31,0.15,0.06,1.0,8
123,1.943,5.0,0.9540000000000001,0.12,0.15,0.23,43.18,13.69,17.95,0.1,0.0,0.01,3.58,-0.76,0.0,0.15,-0.15,0.26,0.97,8
124,1.9572,2.0,0.6459999999999999,0.11,0.05,-0.75,275.63,12.98,4.0,-0.01,-0.0,0.01,3.68,0.31,0.0,0.76,-0.22,0.06,0.98,8
125,1.9585,7.0,0.9670000000000001,-0.01,-0.0,0.25,43.35,-0.08,-1.26,0.08,0.0,-0.0,3.7,-0.61,-0.15,0.31,0.07,-0.06,1.0,8
126,2.0402,4.0,0.9690000000000001,-0.1,0.12,-0.19,350.09,11.55,-13.77,-0.01,0.0,0.01,3.51,0.0,-0.76,0.46,-0.21,-0.24,0.96,8
127,2.0414,1.0,-0.052000000000000005,0.09,0.06,0.99,199.39,-10.82,6.8,-0.04,-0.0,0.02,3.77,0.0,0.31,0.0,0.23,0.11,0.99,8
128,2.0451,3.0,0.674,-0.08,0.17,0.72,108.91,19.58,8.33,0.08,0.0,0.01,3.58,-0.76,0.31,-0.15,-0.35,0.06,0.95,8
129,2.0466,5.0,0.9540000000000001,0.12,0.15,0.23,43.22,13.65,17.93,0.09,0.0,0.0,3.58,0.15,-0.15,-0.61,-0.16,0.26,0.96,8
130,2.0603,0.0,-0.052000000000000005,-0.11,-0.03,-0.99,187.58,-12.72,3.81,0.07,0.0,0.01,3.84,0.15,1.07,0.61,0.15,0.06,1.0,8
131,2.0621,7.0,0.9670000000000001,-0.01,-0.0,0.25,43.42,-0.11,-1.29,0.07,0.0,-0.0,3.7,0.0,0.0,0.0,0.06,-0.06,1.0,8
132,2.1432,2.0,0.6459999999999999,0.11,0.05,-0.75,275.71,12.98,4.12,-0.0,0.0,0.0,3.68,0.46,0.0,0.76,-0.22,0.06,0.97,8
133,2.1445,1.0,-0.052000000000000005,0.09,0.06,0.99,199.44,-10.82,6.82,-0.05,0.0,0.02,3.77,0.0,0.0,0.0,0.23,0.12,0.99,8
134,2.1473,4.0,0.9690000000000001,-0.1,0.12,-0.19,350.17,11.47,-13.75,-0.01,0.0,0.01,3.51,0.0,-0.46,0.92,-0.21,-0.24,0.96,8
135,2.148,5.0,0.9540000000000001,0.12,0.15,0.23,43.06,13.53,17.84,0.09,-0.01,0.01,3.58,-0.31,-0.92,-0.92,-0.15,0.27,0.97,8
136,2.1641,3.0,0.674,-0.08,0.17,0.72,108.85,19.68,8.12,0.09,0.0,0.01,3.58,-0.15,0.15,0.0,-0.35,0.05,0.95,8
137,2.1654,7.0,0.9670000000000001,-0.01,-0.0,0.25,43.55,-0.11,-1.34,0.07,0.0,-0.0,3.7,-0.15,-0.15,1.22,0.06,-0.05,1.0,8
138,2.2438,0.0,-0.052000000000000005,-0.11,-0.03,-0.99,187.66,-12.55,3.84,0.08,0.0,0.0,3.84,0.15,0.0,0.76,0.14,0.06,0.99,8
139,2.2459,1.0,-0.052000000000000005,0.09,0.06,0.99,199.39,-10.81,6.81,-0.04,0.0,0.02,3.77,0.0,0.0,-0.15,0.23,0.11,0.99,8
140,2.249,2.0,0.647,0.11,0.05,-0.75,275.8,12.95,4.07,0.0,-0.0,0.01,3.68,-0.31,-0.15,0.46,-0.23,0.07,0.98,8
141,2.25,5.0,0.955,0.12,0.15,0.23,42.99,13.39,17.73,0.08,-0.0,0.02,3.58,-0.31,-0.46,-0.46,-0.16,0.27,0.97,8
142,2.2648,4.0,0.9690000000000001,-0.1,0.12,-0.19,350.25,11.48,-13.78,-0.01,-0.0,0.01,3.51,-0.46,0.31,-0.15,-0.21,-0.24,0.96,8
143,2.2658,7.0,0.9670000000000001,-0.01,-0.0,0.26,43.6,-0.09,-1.33,0.07,-0.0,-0.0,3.7,0.0,-0.15,1.07,0.07,-0.06,1.0,8
144,2.3498,3.0,0.674,-0.08,0.17,0.72,108.93,19.71,7.99,0.08,0.0,0.01,3.58,0.0,0.0,1.22,-0.35,0.06,0.95,8
145,2.3507,1.0,-0.051,0.09,0.06,0.99,199.26,-10.84,6.73,-0.04,-0.0,0.03,3.77,-0.15,-0.31,0.0,0.23,0.11,1.0,8
146,2.3536,0.0,-0.05,-0.11,-0.03,-0.99,187.82,-12.54,3.88,0.07,-0.0,0.01,3.84,0.0,-0.46,0.76,0.15,0.06,1.0,8
147,2.3544,5.0,0.955,0.12,0.15,0.23,42.87,13.41,17.69,0.09,0.0,0.01,3.58,-0.46,0.76,-0.15,-0.16,0.26,0.97,8
148,2.3791,2.0,0.647,0.11,0.05,-0.75,275.76,12.89,3.95,-0.01,-0.0,0.01,3.68,-0.46,0.0,0.0,-0.23,0.05,0.98,8
149,2.3801,7.0,0.9670000000000001,-0.01,-0.0,0.25,43.59,-0.12,-1.31,0.08,-0.0,-0.0,3.7,0.31,0.31,-0.76,0.07,-0.06,0.99,8
150,2.4409,3.0,0.6729999999999999,-0.08,0.17,0.72,109.02,19.73,8.0,0.08,-0.0,0.0,3.58,0.0,0.46,-0.31,-0.34,0.05,0.95,8
151,2.4419,1.0,-0.051,0.09,0.06,0.99,199.25,-10.92,6.72,-0.04,0.0,0.02,3.77,0.0,-0.46,-0.31,0.24,0.11,0.99,8
152,2.4443,4.0,0.9690000000000001,-0.1,0.12,-0.19,350.35,11.5,-13.74,-0.0,-0.01,0.01,3.51,0.0,0.0,1.83,-0.21,-0.23,0.96,8
153,2.4462,5.0,0.955,0.12,0.15,0.23,42.88,13.47,17.61,0.09,0.0,0.01,3.58,0.0,0.76,-0.61,-0.16,0.26,0.97,8
154,2.4604,0.0,-0.049,-0.11,-0.03,-0.99,187.92,-12.52,3.85,0.07,-0.0,0.01,3.84,0.0,0.31,0.92,0.15,0.06,1.0,8
155,2.4619,7.0,0.9670000000000001,-0.01,-0.0,0.25,43.52,-0.14,-1.31,0.08,0.0,-0.01,3.7,0.31,0.31,-0.76,0.07,-0.06,0.99,8
